epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,978.3997192382812,26.510608673095703,978.3997192382812,286.61798095703125,11.575764656066895,286.61798095703125
1,512.3638305664062,16.932538986206055,512.3638305664062,339.6033020019531,15.358271598815918,339.6033020019531
2,342.4137878417969,13.850400924682617,342.4137878417969,304.1358642578125,13.826921463012695,304.1358642578125
3,285.3829040527344,12.929278373718262,285.3829040527344,264.18023681640625,12.177587509155273,264.18023681640625
4,274.0325622558594,12.709622383117676,274.0325622558594,235.67156982421875,11.972439765930176,235.67156982421875
5,254.2108917236328,12.356254577636719,254.2108917236328,226.76641845703125,11.667752265930176,226.76641845703125
6,241.99496459960938,12.044468879699707,241.99496459960938,221.75799560546875,11.65334415435791,221.75799560546875
7,231.9122772216797,11.825630187988281,231.9122772216797,217.16114807128906,11.275039672851562,217.16114807128906
8,226.50245666503906,11.64148235321045,226.50245666503906,211.97500610351562,11.00017261505127,211.97500610351562
9,222.0230255126953,11.543707847595215,222.0230255126953,217.4375762939453,11.277114868164062,217.4375762939453
10,213.62925720214844,11.251129150390625,213.62925720214844,241.59768676757812,10.924654006958008,241.59768676757812
11,203.78927612304688,11.004809379577637,203.78927612304688,213.08407592773438,10.506889343261719,213.08407592773438
12,193.52374267578125,10.662467002868652,193.52374267578125,167.4838104248047,9.907133102416992,167.4838104248047
13,181.87525939941406,10.307586669921875,181.87525939941406,190.71218872070312,10.58040714263916,190.71218872070312
14,176.24256896972656,10.06320858001709,176.24256896972656,187.78256225585938,10.623078346252441,187.78256225585938
15,172.16299438476562,9.957015991210938,172.16299438476562,165.44541931152344,9.883983612060547,165.44541931152344
16,166.2534637451172,9.752670288085938,166.2534637451172,156.75799560546875,9.54207706451416,156.75799560546875
17,162.95294189453125,9.69517993927002,162.95294189453125,155.5592041015625,9.202804565429688,155.5592041015625
18,160.58612060546875,9.602413177490234,160.58612060546875,149.77854919433594,9.006336212158203,149.77854919433594
19,154.21131896972656,9.359766006469727,154.21131896972656,169.99598693847656,9.793683052062988,169.99598693847656
20,151.50364685058594,9.29012393951416,151.50364685058594,179.41893005371094,9.645302772521973,179.41893005371094
21,147.61561584472656,9.172341346740723,147.61561584472656,145.9987030029297,8.90036392211914,145.9987030029297
22,147.9398651123047,9.206212997436523,147.9398651123047,141.41131591796875,8.654600143432617,141.41131591796875
23,143.32789611816406,8.997590065002441,143.32789611816406,144.15756225585938,8.819473266601562,144.15756225585938
24,140.06329345703125,8.88681697845459,140.06329345703125,138.75099182128906,8.596592903137207,138.75099182128906
25,137.6072235107422,8.811641693115234,137.6072235107422,144.48309326171875,8.893196105957031,144.48309326171875
26,134.47088623046875,8.713168144226074,134.47088623046875,134.78997802734375,8.641342163085938,134.78997802734375
27,131.46176147460938,8.632079124450684,131.46176147460938,136.6736602783203,8.714198112487793,136.6736602783203
28,131.86912536621094,8.599416732788086,131.86912536621094,188.66778564453125,9.152424812316895,188.66778564453125
29,129.3045654296875,8.556390762329102,129.3045654296875,136.55694580078125,8.576862335205078,136.55694580078125
30,130.3140869140625,8.555848121643066,130.3140869140625,137.34690856933594,8.496805191040039,137.34690856933594
31,127.90414428710938,8.486930847167969,127.90414428710938,125.02363586425781,8.301959991455078,125.02363586425781
32,125.50345611572266,8.385814666748047,125.50345611572266,139.92160034179688,8.91448974609375,139.92160034179688
33,122.95279693603516,8.31566333770752,122.95279693603516,128.2049560546875,8.270477294921875,128.2049560546875
34,125.62727355957031,8.397136688232422,125.62727355957031,142.28358459472656,8.809880256652832,142.28358459472656
35,125.7420425415039,8.401501655578613,125.7420425415039,117.71098327636719,7.9938201904296875,117.71098327636719
36,123.01713562011719,8.297110557556152,123.01713562011719,119.66279602050781,8.04176139831543,119.66279602050781
37,122.60868072509766,8.293862342834473,122.60868072509766,132.8099365234375,8.799115180969238,132.8099365234375
38,117.38285827636719,8.155975341796875,117.38285827636719,117.36388397216797,7.953981399536133,117.36388397216797
39,120.17974853515625,8.19868278503418,120.17974853515625,121.49467468261719,8.077221870422363,121.49467468261719
40,115.50164031982422,8.046502113342285,115.50164031982422,118.86978149414062,8.064935684204102,118.86978149414062
41,115.40202331542969,8.031503677368164,115.40202331542969,118.29146575927734,7.835472583770752,118.29146575927734
42,115.02155303955078,7.999869346618652,115.02155303955078,107.37609100341797,7.6160664558410645,107.37609100341797
43,116.49717712402344,8.042232513427734,116.49717712402344,125.5989761352539,8.300865173339844,125.5989761352539
44,115.45112609863281,8.066025733947754,115.45112609863281,134.35592651367188,8.358267784118652,134.35592651367188
45,116.09294891357422,8.087472915649414,116.09294891357422,109.56607055664062,7.684948444366455,109.56607055664062
46,113.06693267822266,7.943251132965088,113.06693267822266,151.29434204101562,8.654154777526855,151.29434204101562
47,114.28361511230469,8.00086784362793,114.28361511230469,122.53961944580078,8.097298622131348,122.53961944580078
48,116.38561248779297,8.057913780212402,116.38561248779297,143.7336883544922,9.158185958862305,143.7336883544922
49,112.5381088256836,7.9486212730407715,112.5381088256836,119.0200424194336,7.847219467163086,119.0200424194336
